['NO: ', 'qqvideo\\640.jpg', ' number: ', array(121.87911, dtype=float32)]
['NO: ', 'qqvideo\\645.jpg', ' number: ', array(118.46514, dtype=float32)]
['NO: ', 'qqvideo\\65.jpg', ' number: ', array(112.8321, dtype=float32)]
['NO: ', 'qqvideo\\650.jpg', ' number: ', array(102.00215, dtype=float32)]
['NO: ', 'qqvideo\\655.jpg', ' number: ', array(92.68145, dtype=float32)]
['NO: ', 'qqvideo\\660.jpg', ' number: ', array(125.51781, dtype=float32)]
['NO: ', 'qqvideo\\665.jpg', ' number: ', array(125.912575, dtype=float32)]
['NO: ', 'qqvideo\\670.jpg', ' number: ', array(126.265816, dtype=float32)]
['NO: ', 'qqvideo\\675.jpg', ' number: ', array(125.49349, dtype=float32)]
['NO: ', 'qqvideo\\680.jpg', ' number: ', array(125.12284, dtype=float32)]
['NO: ', 'qqvideo\\685.jpg', ' number: ', array(120.48541, dtype=float32)]
['NO: ', 'qqvideo\\690.jpg', ' number: ', array(107.47743, dtype=float32)]
['NO: ', 'qqvideo\\695.jpg', ' number: ', array(99.62613, dtype=float32)]
['NO: ', 'qqvideo\\70.jpg', ' number: ', array(131.84457, dtype=float32)]
['NO: ', 'qqvideo\\700.jpg', ' number: ', array(147.46991, dtype=float32)]
['NO: ', 'qqvideo\\705.jpg', ' number: ', array(138.55075, dtype=float32)]
['NO: ', 'qqvideo\\710.jpg', ' number: ', array(144.54085, dtype=float32)]
['NO: ', 'qqvideo\\715.jpg', ' number: ', array(133.7109, dtype=float32)]
['NO: ', 'qqvideo\\720.jpg', ' number: ', array(128.41031, dtype=float32)]
['NO: ', 'qqvideo\\725.jpg', ' number: ', array(115.7756, dtype=float32)]
['NO: ', 'qqvideo\\730.jpg', ' number: ', array(121.14294, dtype=float32)]
['NO: ', 'qqvideo\\735.jpg', ' number: ', array(122.884186, dtype=float32)]
['NO: ', 'qqvideo\\740.jpg', ' number: ', array(119.575645, dtype=float32)]
['NO: ', 'qqvideo\\745.jpg', ' number: ', array(120.76825, dtype=float32)]
['NO: ', 'qqvideo\\75.jpg', ' number: ', array(118.006516, dtype=float32)]
['NO: ', 'qqvideo\\750.jpg', ' number: ', array(139.06178, dtype=float32)]
['NO: ', 'qqvideo\\755.jpg', ' number: ', array(139.83957, dtype=float32)]
['NO: ', 'qqvideo\\760.jpg', ' number: ', array(145.91081, dtype=float32)]
['NO: ', 'qqvideo\\765.jpg', ' number: ', array(152.35944, dtype=float32)]
['NO: ', 'qqvideo\\770.jpg', ' number: ', array(143.32396, dtype=float32)]
['NO: ', 'qqvideo\\775.jpg', ' number: ', array(145.3829, dtype=float32)]
['NO: ', 'qqvideo\\780.jpg', ' number: ', array(152.39656, dtype=float32)]
['NO: ', 'qqvideo\\785.jpg', ' number: ', array(140.08127, dtype=float32)]
['NO: ', 'qqvideo\\790.jpg', ' number: ', array(154.46397, dtype=float32)]
['NO: ', 'qqvideo\\795.jpg', ' number: ', array(156.92007, dtype=float32)]
['NO: ', 'qqvideo\\80.jpg', ' number: ', array(115.67446, dtype=float32)]
['NO: ', 'qqvideo\\800.jpg', ' number: ', array(133.72652, dtype=float32)]
['NO: ', 'qqvideo\\805.jpg', ' number: ', array(154.53952, dtype=float32)]
['NO: ', 'qqvideo\\810.jpg', ' number: ', array(146.78575, dtype=float32)]
['NO: ', 'qqvideo\\815.jpg', ' number: ', array(147.79022, dtype=float32)]
['NO: ', 'qqvideo\\820.jpg', ' number: ', array(137.59177, dtype=float32)]
['NO: ', 'qqvideo\\825.jpg', ' number: ', array(148.50189, dtype=float32)]
